matchId,queueId,gameDuration,blue_win,first_tower,first_dragon,first_herald,first_grub,blue_gold_15,red_gold_15,blue_xp_15,red_xp_15,blue_cs_15,red_cs_15,blue_kills_15,red_kills_15,gold_diff_15,cs_diff_15,xp_diff_15,kills_diff_15
EUN1_3492146409,420,1887,0,red,red,blue,,24479,22140,26840,27121,356,360,12,4,2339,-4,-281,8
EUN1_3492292477,420,1621,1,blue,red,blue,,24778,23723,26732,25658,347,277,11,12,1055,70,1074,-1
EUN1_3493321490,420,1540,0,red,blue,blue,,23922,24663,28770,29089,345,373,6,6,-741,-28,-319,0
EUN1_3493344922,420,1814,0,red,blue,red,,25015,27402,26526,28856,333,313,12,15,-2387,20,-2330,-3
EUN1_3493375766,420,2009,0,red,blue,red,,25627,24387,28966,27437,339,319,12,8,1240,20,1529,4
EUN1_3493408400,420,2318,0,red,blue,red,,24878,25995,26428,27493,262,322,14,14,-1117,-60,-1065,0
EUN1_3493432994,420,2098,0,red,red,red,,22323,24909,25245,27738,279,331,8,11,-2586,-52,-2493,-3
EUN1_3493474252,420,1727,0,blue,red,blue,,23937,25243,27584,28183,293,325,8,13,-1306,-32,-599,-5
EUN1_3494438583,420,1790,0,red,blue,red,,24113,24631,26121,26639,296,286,10,13,-518,10,-518,-3
EUN1_3494487225,420,1510,0,red,red,blue,,26624,26873,26394,24364,298,282,15,15,-249,16,2030,0
EUN1_3494509345,420,2532,1,blue,blue,blue,,24237,24735,28592,26601,325,284,11,15,-498,41,1991,-4
EUN1_3496589584,420,1329,0,red,blue,red,,24002,29806,25828,27968,302,267,11,23,-5804,35,-2140,-12
EUN1_3497273273,420,1223,0,red,red,red,,21671,30492,23888,29403,253,313,8,19,-8821,-60,-5515,-11
EUN1_3497279018,420,2396,0,blue,red,blue,,24574,22398,27299,25851,325,280,10,9,2176,45,1448,1
EUN1_3497309649,420,2110,1,blue,red,blue,,24718,26977,26037,27846,284,289,10,15,-2259,-5,-1809,-5
EUN1_3497355192,420,1574,0,blue,blue,red,,26213,25720,27299,27713,296,282,14,14,493,14,-414,0
EUN1_3497409289,420,1424,0,red,red,red,,22045,27188,24709,28210,290,286,8,19,-5143,4,-3501,-11
EUN1_3497426546,420,1563,1,red,red,blue,,23842,25797,27995,27179,303,300,11,15,-1955,3,816,-4
EUN1_3497455895,420,2521,1,blue,red,blue,,26154,24322,28541,27502,307,355,14,9,1832,-48,1039,5
EUN1_3497806455,420,1734,0,blue,red,blue,,21549,25510,24918,29572,275,310,8,14,-3961,-35,-4654,-6
EUN1_3497845172,420,1406,1,blue,blue,blue,,24206,20355,27291,26107,369,308,9,2,3851,61,1184,7
EUN1_3497863520,420,1819,1,blue,red,blue,,24618,22865,28646,26696,327,341,13,7,1753,-14,1950,6
EUN1_3497903735,420,1552,1,blue,blue,blue,,23762,22394,27198,26741,349,338,6,6,1368,11,457,0
EUN1_3498086404,420,1797,0,red,blue,red,,22504,25725,26008,28257,318,347,7,10,-3221,-29,-2249,-3
EUN1_3498207077,420,1564,1,blue,blue,blue,,23653,21554,28742,25870,289,369,9,2,2099,-80,2872,7
EUN1_3498223025,420,2219,1,blue,blue,blue,,30079,25384,30953,26571,323,325,23,9,4695,-2,4382,14
EUN1_3498232666,420,1612,0,red,blue,blue,,23890,23044,27282,25747,275,292,10,9,846,-17,1535,1
EUN1_3498281485,420,1998,0,blue,red,blue,,28280,27215,28066,28330,329,314,13,15,1065,15,-264,-2
EUN1_3498315077,420,2108,0,blue,red,red,,28868,21702,28684,25455,358,317,16,5,7166,41,3229,11
EUN1_3498330654,420,1379,0,red,red,red,,21267,25932,26159,29142,301,335,5,13,-4665,-34,-2983,-8
EUN1_3498502377,420,1599,0,red,red,,,23382,24039,27003,29186,326,339,9,8,-657,-13,-2183,1
EUN1_3498550593,420,924,0,red,red,red,,21660,27181,23537,28016,305,332,5,15,-5521,-27,-4479,-10
EUN1_3498564851,420,1950,1,blue,blue,blue,,24157,22284,28071,24857,328,310,9,6,1873,18,3214,3
EUN1_3498613045,420,1539,1,blue,blue,red,,28291,21520,29333,24598,323,283,16,5,6771,40,4735,11
EUN1_3498644339,420,1832,0,red,red,blue,,24879,26437,26708,27405,293,345,13,15,-1558,-52,-697,-2
EUN1_3498710391,420,1039,0,red,blue,red,,24381,25700,25231,26423,274,312,13,9,-1319,-38,-1192,4
EUN1_3498720058,420,1654,0,red,red,blue,,26332,26406,28218,27137,308,345,14,10,-74,-37,1081,4
EUN1_3498754614,420,2643,1,blue,red,blue,,23214,24039,26603,27247,299,306,7,10,-825,-7,-644,-3
EUN1_3498795763,420,1980,0,blue,red,blue,,26930,26327,27746,29009,297,316,13,18,603,-19,-1263,-5
EUN1_3498826057,420,1636,0,red,blue,blue,,24644,24178,27137,28095,360,308,9,10,466,52,-958,-1
EUN1_3498865453,420,2205,0,blue,blue,blue,,23515,23336,27991,27731,322,319,7,7,179,3,260,0
EUN1_3499033140,420,2138,1,red,red,blue,,24928,27888,24901,28293,305,302,12,18,-2960,3,-3392,-6
