matchId,queueId,gameDuration,blue_win,first_tower,first_dragon,first_herald,first_grub,blue_gold_15,red_gold_15,blue_xp_15,red_xp_15,blue_cs_15,red_cs_15,blue_kills_15,red_kills_15,gold_diff_15,cs_diff_15,xp_diff_15,kills_diff_15
EUN1_3728982941,420,1878,1,red,blue,blue,red,26714,23204,30007,26655,342,319,18,7,3510,23,3352,11
EUN1_3768485687,420,1649,1,red,blue,blue,blue,25638,23592,28452,27951,329,316,12,9,2046,13,501,3
EUN1_3766938117,420,1655,1,blue,red,blue,red,25339,22891,27129,25072,288,284,14,8,2448,4,2057,6
EUN1_3741832640,420,1752,0,red,red,blue,red,23223,26154,25636,28612,264,259,11,17,-2931,5,-2976,-6
EUN1_3785116683,420,2123,0,blue,red,blue,blue,23472,24243,25899,26686,247,267,13,12,-771,-20,-787,1
EUN1_3678741420,420,2471,0,red,blue,blue,red,23033,24478,24863,26824,272,314,12,7,-1445,-42,-1961,5
EUN1_3809843369,420,1797,1,blue,blue,blue,red,25896,23887,29861,27400,375,316,9,8,2009,59,2461,1
EUN1_3651829884,420,2279,1,blue,blue,blue,blue,27919,25370,27943,27553,335,304,15,11,2549,31,390,4
EUN1_3853729852,420,1916,1,blue,blue,blue,red,25420,24711,26933,27689,283,269,13,17,709,14,-756,-4
EUN1_3806597941,420,1682,0,red,red,red,blue,22103,25247,25195,31464,297,308,7,13,-3144,-11,-6269,-6
EUN1_3752662474,420,1717,0,blue,red,blue,blue,24563,23066,28064,28136,299,301,10,8,1497,-2,-72,2
EUN1_3815579604,420,1683,1,blue,blue,red,red,25747,20749,28705,23595,318,250,14,7,4998,68,5110,7
EUN1_3790940366,420,1967,0,red,blue,blue,red,24664,27245,27664,30423,291,339,14,15,-2581,-48,-2759,-1
EUN1_3550255955,420,1993,1,red,red,blue,red,25409,23302,28084,25650,314,262,13,8,2107,52,2434,5
EUN1_3754786457,420,2682,0,blue,red,red,blue,24257,27325,27822,28639,274,269,14,22,-3068,5,-817,-8
EUN1_3769029926,420,2040,0,red,red,red,blue,25811,25017,27707,24189,227,268,17,14,794,-41,3518,3
EUN1_3725557771,420,1652,1,red,blue,red,red,23152,24414,25234,27171,260,300,13,12,-1262,-40,-1937,1
EUN1_3651530538,420,2196,0,blue,red,,blue,25851,24156,26306,26237,291,264,17,11,1695,27,69,6
EUN1_3680955586,420,1624,1,blue,blue,,red,27136,25482,28157,25637,291,288,18,13,1654,3,2520,5
EUN1_3555201476,420,2234,1,red,blue,,blue,26115,23361,28448,26587,337,327,11,6,2754,10,1861,5
EUN1_3712530237,420,1133,1,blue,blue,blue,blue,28140,22936,28602,24229,338,278,13,9,5204,60,4373,4
EUN1_3776191855,420,1980,0,red,red,red,red,24699,26398,26342,27561,321,270,8,17,-1699,51,-1219,-9
EUN1_3727124293,420,1473,1,blue,blue,blue,blue,27272,25788,27392,26845,335,282,15,14,1484,53,547,1
