matchId,gameDuration,bluetop,bluejg,bluemid,bluebot,bluesupport,redtop,redjg,redmid,redbot,redsupport
EUN1_3830286977,2248,,,,,,,,,,
EUN1_3830307017,1896,,,,,,,,,,
EUN1_3830671280,999,,,,,,,,,,
EUN1_3830680693,2021,,,,,,,,,,
EUN1_3830696669,1438,,,,,,,,,,
EUN1_3830737485,2307,,,,,,,,,,
EUN1_3831011312,110,,,,,,,,,,
EUN1_3831016178,1904,,,,,,,,,,
EUN1_3831034362,1470,,,,,,,,,,
EUN1_3831045634,1908,,,,,,,,,,
EUN1_3831064949,1617,,,,,,,,,,
EUN1_3831131840,1605,,,,,,,,,,
EUN1_3831153693,986,,,,,,,,,,
EUN1_3831704220,1889,,,,,,,,,,
EUN1_3831716146,2090,,,,,,,,,,
EUN1_3831727436,1626,,,,,,,,,,
EUN1_3831768280,1738,,,,,,,,,,
EUN1_3831800505,2016,,,,,,,,,,
EUN1_3831888780,1967,,,,,,,,,,
EUN1_3831905057,1710,,,,,,,,,,
EUN1_3832195738,1775,,,,,,,,,,
EUN1_3832241290,1568,,,,,,,,,,
EUN1_3832486067,117,,,,,,,,,,
EUN1_3832716963,1986,,,,,,,,,,
EUN1_3832812393,3675,,,,,,,,,,
EUN1_3832852093,1326,,,,,,,,,,
EUN1_3832858405,1956,,,,,,,,,,
EUN1_3833039946,1852,,,,,,,,,,
EUN1_3833061773,2372,,,,,,,,,,
EUN1_3833089837,2493,,,,,,,,,,
EUN1_3833173387,2044,,,,,,,,,,
EUN1_3833181050,2020,,,,,,,,,,
EUN1_3833191439,1714,,,,,,,,,,
EUN1_3833221365,1636,,,,,,,,,,
EUN1_3833367524,1452,,,,,,,,,,
EUN1_3833400382,2936,,,,,,,,,,
EUN1_3833546603,1389,,,,,,,,,,
EUN1_3833574230,1906,,,,,,,,,,
EUN1_3833729445,2134,,,,,,,,,,
EUN1_3833774991,2596,,,,,,,,,,
EUN1_3833834386,2116,,,,,,,,,,
EUN1_3833878552,2388,,,,,,,,,,
EUN1_3834161960,1674,,,,,,,,,,
EUN1_3834185747,2567,,,,,,,,,,
EUN1_3834387321,1995,,,,,,,,,,
